GroupName,ContractDate,ContractPrice
Прочее,2020-10-12,9129188591.12
Прочее,2018-08-27,9117249375.82
Прочее,2018-03-16,9108442967.20
Прочее,2016-08-19,9057332256.22
Прочее,2020-08-24,9042096218.41
Прочее,2020-08-31,9027820210.12
Прочее,2020-06-19,9009056423.63
Прочее,2018-11-26,8996142999.29
Прочее,2016-09-12,8983638622.16
Прочее,2016-11-14,8946042502.73
Прочее,2017-09-05,8940369701.00
Прочее,2016-07-25,8935900105.29
Строительный надзор,2018-11-26,8915335251.03
Строительный надзор,2017-09-29,8870981546.04
Прочее,2019-06-04,8846547419.29
Прочее,2017-08-14,8828975967.97
Прочее,2018-06-25,8811757571.71
Прочее,2018-05-04,8789835265.03
Строительный надзор,2020-05-19,8771101469.00
Прочее,2021-03-12,8757437493.54
Прочее,2019-03-19,8745973496.90
Прочее,2018-07-27,8740991447.30
Прочее,2017-06-09,8740045312.38
Прочее,2020-12-15,8738473696.02
Строительный надзор,2019-04-29,8738468229.37
Прочее,2018-09-24,8731875135.27
Прочее,2016-08-09,8719776317.83
Прочее,2017-06-15,8708847257.08
Прочее,2018-07-11,8703754277.47
Строительный надзор,2019-08-12,8699233306.01
Строительный надзор,2019-12-30,8692985050.57
Прочее,2019-08-20,8691653555.43
Строительный надзор,2020-07-27,8686738227.46
Прочее,2020-11-13,8681240360.27
Прочее,2016-12-13,8659234285.27
Прочее,2020-04-29,8657142683.98
Прочее,2016-10-03,8656272289.16
Прочее,2021-07-09,8651903367.30
Прочее,2019-12-05,8642159528.72
Прочее,2016-06-03,8603864056.03
Прочее,2021-02-24,8585630117.24
Прочее,2020-11-30,8567636101.73
Прочее,2016-11-21,8562086390.71
Прочее,2021-04-27,8539697479.15
Прочее,2021-11-29,8533173792.49
Прочее,2017-07-06,8532542270.88
Прочее,2019-09-03,8529264185.16
Прочее,2018-09-14,8525734155.73
Строительный надзор,2018-09-24,8487932331.76
Прочее,2016-04-26,8468953413.83
Прочее,2018-10-16,8468603363.70
Прочее,2017-08-22,8468187115.19
Прочее,2017-05-15,8447580939.05
Прочее,2020-11-09,8438498222.72
Прочее,2017-06-30,8437282746.12
Прочее,2019-05-22,8414750006.69
Прочее,2019-10-22,8412824119.24
Прочее,2020-07-06,8412446387.01
Прочее,2017-02-28,8406637588.08
Прочее,2016-08-26,8394456367.62
Прочее,2018-12-12,8391162534.08
Прочее,2020-09-14,8375098567.28
Прочее,2018-03-23,8351991590.36
Прочее,2020-09-04,8343495954.83
Строительный надзор,2019-12-26,8340839747.10
Прочее,2016-04-11,8339753229.11
Прочее,2019-02-22,8338939073.30
Прочее,2020-06-02,8338412748.91
Прочее,2016-10-24,8338071975.55
Прочее,2019-06-07,8336969592.70
Прочее,2021-08-16,8329147303.00
Прочее,2020-04-13,8326480941.17
Прочее,2016-11-29,8305741024.66
Строительный надзор,2019-12-20,8298215121.12
Прочее,2020-09-11,8287962210.78
Прочее,2020-12-07,8272426361.30
Прочее,2016-06-14,8268886787.68
Прочее,2021-03-31,8256112411.93
Строительный надзор,2016-07-18,8244181372.90
Прочее,2019-08-21,8236002234.49
Прочее,2020-11-23,8182332380.39
Строительно-монтажные работы (СМР),2019-05-17,8175156287.78
Проектно-изыскательские работы (ПИР),2019-08-11,8144663410.72
Прочее,2017-06-01,8140226113.76
Прочее,2019-08-23,8135423146.41
Прочее,2018-06-19,8122079931.38
Прочее,2018-03-19,8118263063.94
Прочее,2019-04-26,8114356087.40
Прочее,2016-01-25,8105146750.01
Прочее,2019-06-05,8066424226.80
Прочее,2020-11-24,8056458085.84
Прочее,2017-05-17,8038445330.37
Прочее,2021-04-13,8006239971.08
Прочее,2018-05-14,8001201651.70
Прочее,2018-10-01,7996533896.78
Прочее,2020-04-07,7984533697.05
Прочее,2018-11-13,7977595298.83
Строительный надзор,2016-06-20,7976183496.17
Прочее,2019-09-17,7975208224.03
Прочее,2019-08-16,7960989620.33
Прочее,2016-06-28,7946321294.31
Прочее,2019-05-30,7944072034.65
Проектно-изыскательские работы (ПИР),2017-02-17,7937401765.77
Строительный надзор,2019-07-03,7933940520.80
Прочее,2016-07-01,7906112617.67
Прочее,2021-06-01,7894679844.41
Прочее,2017-08-10,7886908841.68
Прочее,2016-11-09,7872390678.42
Строительный надзор,2020-06-01,7868125945.49
Строительный надзор,2019-04-23,7860222976.63
Прочее,2018-05-21,7853246165.57
Строительный надзор,2018-08-06,7850705777.63
Строительный надзор,2019-09-13,7845735241.75
Прочее,2021-09-20,7840723227.01
Прочее,2018-07-31,7831959481.88
Прочее,2018-09-25,7827254109.10
Строительный надзор,2017-12-21,7826018072.68
Прочее,2020-12-23,7824925132.83
Прочее,2016-12-25,7813488500.59
Прочее,2017-07-18,7801958055.48
Прочее,2020-10-05,7785503511.96
Прочее,2017-04-18,7769581576.53
Прочее,2021-05-25,7742639746.45
Строительный надзор,2017-01-30,7716363428.08
Прочее,2020-03-31,7714392723.62
Прочее,2020-06-30,7714025256.19
Прочее,2020-05-29,7702192387.87
Строительный надзор,2017-11-27,7695389039.83
Строительно-монтажные работы (СМР),2019-09-30,7689440453.64
Прочее,2018-03-12,7685210237.38
Прочее,2021-08-09,7668211174.50
Прочее,2018-03-14,7663242657.95
Прочее,2021-11-08,7654125613.15
Строительный надзор,2016-06-28,7650206332.87
Прочее,2019-09-13,7628497527.12
Прочее,2021-08-02,7623415671.13
Прочее,2021-04-06,7619822078.50
Строительный надзор,2019-07-29,7613354330.06
Строительный надзор,2020-06-08,7608559489.41
Прочее,2017-03-07,7589213907.24
Прочее,2017-07-13,7588984470.06
Прочее,2019-08-27,7567053663.09
Прочее,2019-08-06,7562098392.92
Строительный надзор,2018-12-21,7561769100.39
Прочее,2022-03-30,7557499561.24
Прочее,2021-08-31,7553332859.68
Прочее,2017-07-25,7547733676.81
Прочее,2018-09-10,7545936451.36
Строительный надзор,2019-06-04,7528114624.17
Прочее,2021-09-06,7515460551.96
Прочее,2020-03-27,7501318832.59
Строительный надзор,2017-12-11,7487947632.10
Строительный надзор,2016-06-14,7482506348.46
Прочее,2018-08-07,7456376971.47
Прочее,2017-11-07,7417295325.70
Строительный надзор,2016-07-04,7408072176.46
Прочее,2021-05-17,7407673221.20
Прочее,2017-09-26,7401148743.49
Прочее,2018-07-17,7394980582.95
Прочее,2018-12-27,7391418917.19
Прочее,2018-08-29,7390656093.76
Строительный надзор,2017-06-02,7356087351.70
Прочее,2019-07-19,7352192090.96
Прочее,2017-04-04,7352003051.68
Прочее,2018-06-29,7343630665.33
Прочее,2018-04-12,7333637301.50
Прочее,2019-05-16,7333185844.80
Строительный надзор,2019-11-07,7295700191.18
Прочее,2019-09-16,7295185999.43
Прочее,2016-05-30,7285276842.47
Строительный надзор,2019-09-23,7278271950.97
Строительный надзор,2019-05-06,7276891113.56
Прочее,2018-07-10,7267661316.16
Прочее,2020-04-22,7251468829.41
Прочее,2019-12-26,7242493097.32
Прочее,2019-03-25,7221456861.66
Проектно-изыскательские работы (ПИР),2018-09-28,7220334231.17
Прочее,2018-08-20,7220155023.81
Прочее,2020-10-21,7214111855.03
Прочее,2018-08-01,7209072331.07
Прочее,2020-07-07,7206077976.89
Прочее,2017-12-15,7200686865.32
Строительный надзор,2019-06-19,7190598044.40
Прочее,2016-12-22,7169376921.93
Прочее,2019-07-02,7167393974.68
Строительный надзор,2020-09-21,7166388004.76
Прочее,2018-05-15,7165897758.89
Строительный надзор,2017-06-19,7161494557.82
Прочее,2016-10-17,7156324611.86
Строительный надзор,2020-12-14,7144024531.48
Строительный надзор,2016-10-10,7142637241.75
Прочее,2019-10-10,7135443697.62
Строительный надзор,2019-07-22,7121627515.41
Прочее,2018-11-21,7112718703.04
Прочее,2020-12-08,7110119611.46
Прочее,2016-11-28,7101654859.03
Прочее,2018-12-15,7085641976.58
Прочее,2016-05-10,7078859666.64
Прочее,2021-12-28,7067911926.54
Прочее,2020-01-24,7065948612.47
Прочее,2017-10-06,7063545027.54
Строительный надзор,2016-05-24,7050115609.20
Прочее,2018-09-04,7049402609.82
Прочее,2016-08-30,7045423103.55
Строительный надзор,2020-07-29,7043241704.97
Строительный надзор,2021-12-24,7043065296.69
Прочее,2019-10-04,7037928955.17
Строительный надзор,2016-08-15,7016854770.46
Строительный надзор,2018-06-04,7004566081.62
Строительный надзор,2018-03-20,6990715077.88
Прочее,2020-09-28,6969470550.03
Прочее,2017-06-07,6965929426.26
Строительный надзор,2021-12-28,6964195113.97
Прочее,2016-05-24,6953984261.97
Строительный надзор,2019-07-09,6945845053.31
Строительный надзор,2019-12-13,6931391106.97
Прочее,2017-04-10,6927372489.72
Прочее,2017-08-03,6914797069.30
Прочее,2021-07-13,6910631275.26
Прочее,2019-06-11,6892432151.15
Прочее,2018-10-02,6889475880.47
Прочее,2017-11-16,6861327069.86
Прочее,2017-03-20,6852120336.05
Строительный надзор,2016-07-11,6835296800.33
Прочее,2020-04-24,6831077249.44
Прочее,2017-05-03,6810219175.76
Прочее,2018-01-09,6805769116.43
Прочее,2016-11-15,6805026245.44
Прочее,2017-04-27,6799231270.75
Прочее,2019-11-11,6792950810.50
Прочее,2019-08-14,6790665180.88
Прочее,2018-11-17,6789656291.25
Прочее,2018-10-30,6786711979.67
Строительный надзор,2019-08-23,6786627805.34
Строительный надзор,2018-07-13,6781705853.75
Прочее,2021-05-14,6779824009.49
Прочее,2017-06-20,6773806295.51
Прочее,2019-02-04,6761352848.08
Строительный надзор,2021-04-06,6744566934.46
Строительный надзор,2019-04-30,6741662139.44
Прочее,2020-06-17,6736031843.18
Прочее,2020-07-13,6714105020.77
Прочее,2020-02-26,6710056242.53
Строительный надзор,2019-12-24,6708738732.37
Прочее,2017-09-25,6708138508.54
Прочее,2020-02-28,6704009243.35
Прочее,2021-10-04,6703153981.45
Строительный надзор,2016-05-30,6670826128.34
Прочее,2020-08-11,6669895504.41
Прочее,2018-09-21,6652204206.68
Прочее,2019-09-24,6649023044.49
Прочее,2021-05-12,6636086831.64
Строительный надзор,2018-02-26,6632272430.74
Строительный надзор,2017-09-15,6626625091.89
Строительный надзор,2019-05-20,6625647029.41
Прочее,2021-12-27,6619973464.68
Строительный надзор,2019-09-02,6615149319.01
Прочее,2017-08-01,6607615238.24
Прочее,2018-03-20,6592641926.96
Прочее,2019-06-21,6586098007.88
Прочее,2021-03-23,6581591932.07
Строительный надзор,2018-04-02,6580226406.85
Прочее,2021-02-26,6577397973.80
Проектно-изыскательские работы (ПИР),2021-12-24,6577321687.22
Строительный надзор,2016-10-27,6570258790.23
Прочее,2018-06-01,6553593257.04
Прочее,2017-12-12,6533095540.98
Прочее,2018-08-10,6528910700.52
Прочее,2016-10-25,6526698207.23
Прочее,2020-10-26,6522915627.75
Строительный надзор,2019-12-21,6491661635.95
Строительный надзор,2017-05-18,6469841654.17
Строительный надзор,2017-02-07,6466688610.59
Прочее,2020-11-16,6460728241.67
